Index	Language	ISO 639-3 Code	Family	Country Where
1	Abidji	abi	Kwa	Ivory Coast
2	Agarabi	agd	Trans-New Guinea	Papua New Guinea
3	Agta	dgc	Austronesian	Philippines
4	Aguacatec	agu	Mayan	Guatemala
5	Amarakaeri	amr	Arawakan	Peru
6	Ampeeli	apz	Angan	Papua New Guinea
7	Amuzgo	amu	Oto-Manguean	Mexico
8	Angaatiha	agm	Angan	Papua New Guinea
9	Apinayé	apn	Macro-Ge	Brazil
10	Arabela	arl	Zaparoan	Peru
11	Bahinemo	bjh	Sepik Hill	Papua New Guinea
12	Bauzi	bvz	Geelvink Bay	Indonesia
13	Berik	bkl	Trans-New Guinea	Indonesia (Irian Jaya)
14	Bété	byf	Kru	Ivory Coast
15	Bhili	bhb	Indic	India
16	Buglere	sab	Chibchan	Panama
17	Cakchiquel	cak	Mayan	Guatemala
18	Campa	cpb	Arawakan	Peru
19	Camsa	kbh	Camsa	Columbia
20	Candoshi	cbu	Jivaroan	Peru
21	Cavineña	cav	Tacanan	Bolivia
22	Cayapa	cbi	Barbacoan-Paezan	Ecuador
23	Chácobo	cao	Panoan	Bolivia
24	Chavacano (Zamboangueño)	cbk	[creole]	Philippines
25	Chayahuita	cbt	Chayahuita (Jivaroan?)	Peru
26	Chinantec	cte	Oto-Manguean	Mexico|
27	Chiquitano	cax	Macro-Ge	Bolivia
28	Chumburu	ncu	Chumburung	Ghana
29	Cofán	con	Chibchan	Ecuador
30	Colorado	cof	Barbacoan	Ecuador
31	Cree	csw	Algonquian	Canada
32	Culina	cul	Arauan	Peru, Brazil
33	Didinga	did	Nilo-Sarahan	Sudan
34	Djuka	djk	[creole]	Surinam
35	Dyimini	dyi	Gur	Ivory Coast
36	Ejagam	etu	Bantoid	Nigeria, Cameroon
37	Ese Ejja	ese	Tacanan	Bolivia
38	Garífuna (Black Carib)	cab	[creole]	Guatemala
39	Guahibo	guh	Arawakan	Colombia
40	Guambiano	gum	Paezan	Columbia
41	Guarijío	var	Uto-Aztecan	Mexico
42	Guaymí (Ngäbere)	gym	Chibchan	Panama
43	Gunu	yas	Bantoid	Cameroon
44	Halbi	hlb	Indic	India
45	Huastec	hva	Mayan	Mexico
46	Huave	hve	Huavean	Mexico
47	Iduna	viv	Oceanic	Papua New Guinea
48	Ifugao	ify	Austronesian	Philippines
49	Iwam	iws	Upper Sepik	Papua New Guinea
50	Jicaque	jic	Jicaque	Honduras
51	Kalam	kmh	East New Guinea Highlands	Papua New Guinea
52	Kamano-Kafe	kbg	East New Guinea Highlands	Papua New Guinea
53	Karajá	kpj	Macro-Ge	Brazil
54	Kemtuik	kmt	Nimboran	Indonesia (Irian Jaya)
55	Kokni (Kokoni)	kfu	Indic	India
56	Konkomba	xon	Gur	Ghana
57	Kriol	rop	[creole]	Australia
58	Kuku-Yalanji	gvn	Pama-Nyungan	Australia
59	Kuna	cuk	Chibchan	Panama
60	Kwerba	kwe	Dani-Kwerba	Indonesia (Irian Jaya)
61	Lele	lln	East Chadic	Chad
62	Mampruli	maw	Gur	Ghana
63	Maring	mbw	Trans-New Guinea	Papua New Guinea
64	Martu-Wangka	mpj	Martu-Wangka	Australia
65	Mawchi	mke	Indic	India
66	Mayoruna	mcf	Panoan	Peru
67	Mazahua	mmc	Oto-Manguean	Mexico
68	Mazatec	maq	Oto-Manguean	Mexico
69	Menye	mcr	Angan	Papua New Guinea
70	Micmac	mic	Algonquian	Canada
71	Mikasuki	mik	Muskogean	USA
72	Mixtec	mxa	Oto-Manguean	Mexico
73	Mundu	muh	Adamawa-Ubangi	Sudan
74	Múra-Pirahá	myp	Pirahá	Brazil
75	Murle	mur	Nilo-Sarahan	Sudan
76	Murrinh-Patha	mwf	Murrinh-Patha	Australia
77	Nafaanra	nfr	Gur	Ghana
78	Nahuatl	ncj	Uto-Aztecan	Mexico
79	Ocaina	oca	Witotoan	Peru
80	Papago (O'odham)	ood	Uto-Aztecan	USA, Mexico
81	Patep	ptp	Austronesian	Papua New Guinea
82	Paya	pay	Chibchan	Honduras
83	Podopa	ppo	Trans-New Guinea	Papua New Guinea
84	Saramaccan	srm	[creole]	Surinam
85	Seri	sei	Hokan	Mexico
86	Shipibo	shp	Panoan	Peru
87	Sirionó	srq	Tupi	Bolivia
88	Slave	xsl	Athabaskan	Canada
89	Sursurunga	sgz	Austronesian	Papua New Guinea
90	Tabla	tnm	Trans-New Guinea	Indonesia (Irian Jaya)
91	Tacana	tna	Tacanan	Bolivia
92	Tarahumara (Central)	tar	Uto-Aztecan	Mexico
93	Tarahumara (Western)	nai	Uto-Aztecan	Mexico
94	Tboli	tbl	Austronesian	Philippines
95	Teribe	tfr	Chibchan	Panama
96	Ticuna	tca	Ticuna	Peru
97	Tifal	tif	Trans-New Guinea	Papua New Guinea
98	Tlapanec	tll	Subtiaba-Tlapanec	Mexico
99	Tucano	tuo	Tucanoan	Colombia
100	Vagla	vag	Gur	Ghana
101	Vasavi	vas	Indic	India
102	Waorani (Auca, Huao)	auc	Waorani	Ecuador
103	Walpiri	wbp	Pama-Nyungan	Australia
104	Wobé	wob	Niger-Congo	Ivory Coast
105	Yacouba	daf	Dan	Ivory Coast
106	Yakan	yka	Austronesian	Philippines
107	Yaminahua	yaa	Panoan	Peru
108	Yucuna	ycn	Arawakan	Colombia
109	Yupik	ess	Eskimo-Aleut	USA
110	Zapotec	zpz	Oto-Manguean	Mexico
